frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_delta_com_feet_velocity,cost_orientation
0,0.001930454136227711,0.5,0.9996956471151509,-0.0,-0.0,-8.72194757946256e-08,-0.060966260731220245,-0.0,-3.222641404652982e-08,-1.9256099397934907e-09,-6.802022926405294e-07,-3.786449638102155e-07
1,0.0018908242480558293,0.4998376431723963,0.9996987654959131,-4.698918088217048e-06,-0.0003031092863710633,-3.2108895415118775e-07,-0.026797359809279442,-0.03221135213971138,-5.733127965508375e-08,-1.5846047110234043e-08,-1.8273772135958557e-05,-4.552938465806339e-06
2,0.0018990962479460696,0.49988486913169883,0.9997071320631427,-1.3669185645500297e-05,-0.0006547099912135787,-9.379388069166512e-07,-0.017836807295680046,-0.01319811213761568,-4.96106391525453e-08,-1.5064155983426135e-07,-5.6376176236482456e-05,-1.6344957873055056e-05
3,0.001936795238934119,0.49999044193168335,0.9997192037697761,-2.309332736759246e-05,-0.0008202342022086624,-1.652890625172935e-06,-0.009574536234140396,-0.011246459558606148,-3.6569015549998335e-08,-4.7652690404320227e-07,-8.829506050618324e-05,-3.642437119327757e-05
4,0.0019793457038777148,0.499715873449958,0.9997336412385838,-2.9998774499960618e-05,-0.0008063961596766529,-2.5144322744751156e-06,-0.008915875107049942,-0.000320642429869622,-2.6455118551451353e-08,-9.843920373959024e-07,-0.00011681065370276283,-6.383708656694314e-05
5,0.002020760743276554,0.49918447895135465,0.9997494077799498,-3.5667788113835067e-05,-0.0008007109741474091,-3.4356814176815344e-06,-0.008446888998150826,-0.0005995193496346474,-1.9231364618788517e-08,-1.6452844842740874e-06,-0.00014519824476427436,-9.893795665219811e-05
6,0.0020543809276811573,0.498610752361652,0.9997658663939312,-4.0332137139742385e-05,-0.0008488071930742158,-4.364358245276026e-06,-0.007829496636986732,-0.0006208545528352261,-1.4130939685346902e-08,-2.417643309002657e-06,-0.000176022472763574,-0.00014326133856605545
7,0.0020808462535236195,0.4981738779027888,0.9997825339861043,-4.397277516733908e-05,-0.000926055564763439,-5.3324067671102545e-06,-0.007015017792582512,-0.00041707573109306395,-1.0535220616968856e-08,-3.249404638145109e-06,-0.00021060702345002038,-0.00019850304187928172
8,0.0021031830869892806,0.4979710223074952,0.9997990395313784,-4.6541587404152914e-05,-0.0010104709217578962,-6.39584186283754e-06,-0.006342305801808834,-0.00029065398848615587,-8.383018480000264e-09,-4.0893189522000295e-06,-0.00024944831581401344,-0.0002662930603836625
9,0.0021226927022079552,0.4980111268004347,0.9998151107104255,-4.8198143129825864e-05,-0.0011014321298101946,-7.597481163130111e-06,-0.005831528455018997,-0.0001963063405128196,-7.430081391219593e-09,-4.89647273372738e-06,-0.0002934484553090334,-0.0003483248930291604
10,0.0021405104032926428,0.4982451566908379,0.9998305592759624,-4.906751771534159e-05,-0.001198243919984763,-8.956874831120286e-06,-0.005485469475388527,-0.00011770118726417422,-7.356480999579578e-09,-5.643176900034319e-06,-0.00034267415833018957,-0.0004462822640683488
11,0.0021574664260954717,0.49859750283253945,0.9998452590677006,-4.925107931082109e-05,-0.0013004338988036274,-1.0472627807248913e-05,-0.0052751279436051846,-6.387480243574828e-05,-7.947436906591849e-09,-6.3141898860879165e-06,-0.00039666268669372737,-0.0005618259081287547
12,0.0021741001032361163,0.49899248493443515,0.9998591300758298,-4.88385814623689e-05,-0.0014077734206953284,-1.2132377358008377e-05,-0.005153526086360216,-3.417095649638213e-05,-8.898482358289336e-09,-6.903993689477422e-06,-0.0004548214357797095,-0.0006966072541277623
13,0.002190790122706437,0.49936725487227407,0.9998721272333657,-4.791826678778972e-05,-0.0015198600575857674,-1.391680477605449e-05,-0.0050874133594334126,-1.8903416275861673e-05,-9.979006271492745e-09,-7.413654660647515e-06,-0.0005165011805248333,-0.0008522771428015868
