frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,0.001930454136227711,0.5,0.0999695647115151,-0.0,-0.0,-1.7696318229836685e-06,-0.0,-0.0,-1.1899700723006973e-09,-9.989545908051147e-09,-1.4619803761004648e-11
1,0.001972413857822022,0.4999999999968282,0.09996981001692387,-1.8730847248113097e-06,-7.505479350661912e-08,-5.533489036903774e-06,-0.0,-0.0,-2.2961164190679886e-09,-9.760570383230214e-09,-1.9932625178916312e-10
2,0.002011262395929889,0.49999999998383066,0.09997048190118933,-6.337536700915806e-06,-1.8888926177975157e-07,-1.0545995283974817e-05,-0.0,-0.0,-2.486101095619351e-09,-9.38777904418614e-09,-7.676279717333965e-10
3,0.002048341105634207,0.499999999965516,0.09997147600329682,-1.1783290671537238e-05,-2.601213012366594e-07,-1.688563020454469e-05,-0.0,-0.0,-2.056800879315514e-09,-8.891299242602764e-09,-1.8068695709428766e-09
4,0.002083965963455333,0.49999999994558436,0.09997269878322854,-1.7254705156588965e-05,-2.737732005331263e-07,-2.491371852811522e-05,-0.0,-0.0,-1.416715746427865e-09,-8.300838912219586e-09,-3.251476062776934e-09
5,0.002118460696456946,0.4999999999258751,0.09997407379834887,-2.222364162780304e-05,-2.4222357341531084e-07,-3.499503780778442e-05,-0.0,-0.0,-8.271065873325037e-10,-7.64956664631878e-09,-4.927874309209246e-09
6,0.0021520946630995495,0.4999999999075415,0.09997553998650105,-2.6428517257690292e-05,-1.8550553393836205e-07,-4.738052470428599e-05,-0.0,-0.0,-3.974214762918788e-10,-6.96991857983639e-09,-6.615400196477146e-09
7,0.002185091039324263,0.499999999891572,0.0999770495114921,-2.9770398240070706e-05,-1.2217654157553975e-07,-6.217539604984841e-05,-0.0,-0.0,-1.4050842161846234e-10,-6.2900315454686605e-09,-8.098618216115326e-09
8,0.002217633619515452,0.49999999987813826,0.09997856560210046,-3.224652998228246e-05,-6.593660209290909e-08,-7.935058149495846e-05,-0.0,-0.0,-2.3674798803512644e-11,-5.632454670086969e-09,-9.20302226352449e-09
9,0.0022498745706122083,0.49999999986786,0.0999800605644341,-3.390860498826621e-05,-2.5127603280874495e-08,-9.876982118671112e-05,-0.0,-0.0,-1.505758770626019e-12,-5.013328241661758e-09,-9.814081288701605e-09
