frame,omega_vel_error
0,0.0
1,2.1599278324935653e-06
2,2.7589041502498463e-06
3,2.3301992290191114e-06
4,2.537233190100916e-08
5,1.1491793408534377e-06
6,4.6343962961810365e-06
7,9.310968112453722e-06
8,1.4591505367722062e-05
9,1.9740194055085878e-05
10,2.414029146416356e-05
11,2.7294911580486002e-05
12,2.8848043488894847e-05
13,2.861274251279478e-05
14,2.659481554691033e-05
15,2.3013239451111145e-05
16,1.8273726704067398e-05
17,1.2954184178786842e-05
18,7.738424013065916e-06
19,3.3758141722793617e-06
20,6.070533159559261e-07
21,1.4313725348531548e-07
22,2.6258275525119432e-06
23,8.595768239969312e-06
24,1.8461829875233364e-05
25,3.248214204670599e-05
26,5.0745595013959324e-05
27,7.316396590842271e-05
28,9.948025840763524e-05
29,0.0001292981661740893
30,0.0001621032301280767
31,0.00019728658607923448
32,0.00023417835346226947
33,0.000272066955511261
34,0.00031023123959725643
35,0.0003479605907676994
36,0.0003845813437041644
37,0.0004194517300969115
38,0.00045200736643267667
39,0.00048174489435933625
40,0.0005082473667059922
41,0.0005311766699497362
42,0.0005502785068186117
43,0.0005653787817126265
44,0.0005763833754430596
45,0.0005832711356496962
46,0.0005860901452066263
47,0.0005849498933835285
48,0.0005800125434551302
49,0.0005714913073013857
50,0.0005596346475576946
51,0.0005447234000865692
52,0.0005270471776975707
53,0.0005069707868049872
54,0.0004848189108876026
55,0.00046092969989201533
56,0.0004356425492478499
57,0.0004092915118892343
58,0.0003822035953448642
59,0.00035469693208615055
60,0.00032706612620105144
61,0.00029959187124858563
62,0.00027253022823566474
63,0.00024611414617834777
64,0.00022055189783281776
65,0.00019602783656784607
66,0.0001727011966376922
67,0.00015070569418898158
68,0.00013014694173637165
69,0.00011109398905507584
70,9.361168312889663e-05
71,7.773295202075115e-05
72,6.34739215015495e-05
73,5.082678383645081e-05
74,3.976423233180722e-05
75,3.0242552705660664e-05
76,2.2203562668208623e-05
77,1.5573340008490514e-05
78,1.0262896395782935e-05
79,6.181476481055432e-06
80,3.2258192920147623e-06
81,1.287210677172232e-06
82,2.53639466571975e-07
83,9.13269636068683e-09
84,4.3747571993708987e-07
85,1.4239134768821116e-06
86,2.856281322186706e-06
87,4.62680596516778e-06
88,6.632891458978517e-06
89,8.778673823557516e-06
90,1.0974924807746918e-05
91,1.3143474337064482e-05
92,1.5213740765448005e-05
93,1.71258311044096e-05
94,1.882935378037467e-05
95,2.0285340230111865e-05
96,2.1464870651565207e-05
97,2.2349203151950156e-05
98,2.2929905906565197e-05
99,2.3207861981510377e-05
100,2.3192380393424016e-05
101,2.2900915328186836e-05
102,2.2357311562776585e-05
103,2.1591159734498456e-05
104,2.063559705981617e-05
105,1.952618763799781e-05
106,1.8300182528965928e-05
107,1.6999498552975217e-05
108,1.5659412410387945e-05
109,1.4314105013779484e-05
110,1.2993616394749655e-05
111,1.1724576946026766e-05
112,1.0527017894392202e-05
113,9.420162360293014e-06
114,8.414227435917321e-06
115,7.5297689527748195e-06
116,6.745792044525934e-06
117,6.069690454038383e-06
118,5.496422631799186e-06
119,5.023893606973161e-06
120,4.6442842217227105e-06
121,4.350331773314379e-06
122,4.134620897378303e-06
123,3.989984223733499e-06
124,3.906668944978121e-06
125,3.882921904749415e-06
126,3.912159293608592e-06
127,3.988988533778117e-06
128,4.106741743534981e-06
129,4.2614295837170285e-06
130,4.446065978008417e-06
131,4.653925141686702e-06
132,4.878023117428548e-06
133,5.110895129764476e-06
134,5.344196604771505e-06
135,5.5694005203476195e-06
136,5.780189137062455e-06
137,5.965164816392287e-06
138,6.114633670248048e-06
139,6.220468798470347e-06
140,6.276124538699137e-06
141,6.275654256330219e-06
142,6.214297335934573e-06
143,6.089195852589646e-06
144,5.899351220949418e-06
145,5.642006996663106e-06
146,5.3203011736054156e-06
147,4.9392883015096505e-06
148,4.50638165468079e-06
149,4.030483569903986e-06
150,3.522538223688497e-06
151,2.995550231067266e-06
152,2.4636556149155113e-06
153,1.9437542566701217e-06
154,1.4513234509439248e-06
155,1.0035459793423358e-06
156,6.179776569300424e-07
157,3.121296775632595e-07
158,1.0271387618018204e-07
159,5.280470129207887e-09
160,3.3667973032731916e-08
161,1.9945285204263913e-07
162,5.11581716661197e-07
163,9.757633729218003e-07
164,1.5951068310782062e-06
165,2.3688134952955883e-06
166,3.2922055083494215e-06
167,4.356301121547381e-06
168,5.548133349893822e-06
169,6.851267415580485e-06
170,8.244898392526624e-06
171,9.705174287613468e-06
172,1.1204723377480264e-05
173,1.2713545524158017e-05
174,1.4199435184455508e-05
175,1.5628521216195767e-05
176,1.696653938760978e-05
177,1.8179404001195582e-05
178,1.923343237255965e-05
179,2.0096950844770614e-05
180,2.0741105264032158e-05
181,2.1140656582401476e-05
182,2.1274885190851394e-05
183,2.1129069688388636e-05
184,2.0694689513595866e-05
185,1.9970432699278975e-05
186,1.8963030381482796e-05
187,1.768798077452341e-05
188,1.6169967515954964e-05
189,1.4443000088973568e-05
190,1.2551243110460315e-05
191,1.0549144929453846e-05
192,8.500903424447671e-06
193,6.478230894854265e-06
194,4.568632079861378e-06
195,2.863935079480753e-06
196,1.4644823380604638e-06
197,4.781851813183278e-07
198,1.8744989520634618e-08
199,2.0499071054152372e-07
200,1.1592119181386886e-06
201,3.005975152150244e-06
202,5.8706632941287215e-06
203,9.874763209027482e-06
204,1.5136500255200808e-05
205,2.176251886199159e-05
206,2.991347512201627e-05
207,3.95923236486818e-05
208,5.095710302155289e-05
209,6.406227881954343e-05
210,7.912689211978127e-05
211,9.591067622250645e-05
212,0.000114431942775838
213,0.00013481442141866288
214,0.0001569956411621417
215,0.00018149947798145837
216,0.00020715395478260976
217,0.00023418788528376523
218,0.0002626550922098899
219,0.00029234096748703237
220,0.00032300933793309803
221,0.00035442669406878457
222,0.00038633528088818887
223,0.0004184567496840617
224,0.0004504881941161146
225,0.000482101059965736
226,0.0005129416656042237
227,0.0005426618721859025
228,0.00057089053038424
229,0.0005972560000772832
230,0.0006213765355553703
231,0.0006428807620538126
232,0.0006614049431321443
233,0.0006766035242423335
234,0.000688154589433636
235,0.0006957692418744638
236,0.000699189224776588
237,0.0006982070497211266
238,0.0006926629239456249
239,0.0006824584389947957
240,0.0006675586215812771
241,0.0006479979714917669
242,0.0006238872126110593
243,0.0005954155916822513
244,0.0005628582934022899
245,0.0005265751494622069
246,0.0004870062827603878
247,0.0004446801221829733
248,0.00040020595115348084
249,0.00035427010712958207
250,0.0003076297142325713
251,0.00026110491289635726
252,0.00021557184409413103
253,0.0001719485711928412
254,0.00013118161895069456
255,9.423660183975254e-05
256,6.208977280790995e-05
257,3.5684005410871444e-05
258,1.595716235767716e-05
259,3.79348637751151e-06
260,2.6002530464743784e-08
261,5.411891567084858e-06
262,2.062399684972808e-05
263,4.623816686658362e-05
264,8.272423289045241e-05
265,0.00013043860286560653
266,0.00018961481089258683
267,0.0002603617479929068
268,0.00034265436923686387
269,0.00043634624551341504
270,0.00054116258837497
271,0.0006567103728538285
272,0.001197439220833116
273,0.0002607488499358469
274,1.2809952698378964e-09
275,0.0014682033635743253
276,0.005357518139580357
277,0.010422155722052167
278,0.015893427145886374
279,0.02147514595953947
280,0.027183782434523504
281,0.033098468319132546
282,0.039650451646861845
283,0.04703302819522691
284,0.05530571609643004
285,0.06474835061373646
286,0.07532955557320922
287,0.08407855920062596
288,0.08732078362284545
289,0.08928142657626423
290,0.09100926857762703
291,0.09244678358709908
292,0.09459975509987799
293,0.09683258607108473
294,0.09607252262187009
295,0.09177481064595358
296,0.08853590152344344
297,0.08607032548189773
298,0.08420570124480987
299,0.07638206250111369
300,0.06830285841822416
301,0.06281831037957322
302,0.05998894158152746
303,0.057045662572718286
304,0.050142554916441304
305,0.04441101909044076
306,0.03997279884997592
307,0.03726031830544308
308,0.034035794007191124
309,0.031544764969704035
310,0.030026490336449586
311,0.029045080659356955
312,0.028289125713818884
313,0.028168824218527733
314,0.028212523611331693
315,0.028696335304875906
316,0.028132424105786973
317,0.027710774062672677
318,0.02863551173307451
319,0.029835336677608196
320,0.03122358068377625
321,0.03279788047390048
322,0.03421093119386844
323,0.03610388296362469
324,0.03747505035781723
325,0.038769264402306255
326,0.03996820205511923
327,0.041061849538266366
328,0.04233438378366798
329,0.04313839438714209
330,0.04378038702802845
331,0.0442393057605458
332,0.04451935878620086
333,0.04461123412824369
334,0.0445023117538109
335,0.044203633040830304
336,0.04370892645848751
337,0.043019889913935704
338,0.042140275592289354
339,0.04107493276033926
340,0.04019356084896883
341,0.03871443973264263
342,0.03708199657068998
343,0.035557985061317854
344,0.03400071315680205
345,0.032084107899561246
346,0.03041726583074447
347,0.028534098398014466
348,0.02685528937630576
349,0.02465964173006554
350,0.022673495585111263
351,0.020966099167507274
352,0.018685386728064652
353,0.016159457976963495
354,0.013602824679510319
355,0.011164640846785048
356,0.008913265535255325
357,0.006892488825415557
358,0.005136775472360656
359,0.00364206240179666
360,0.002388281491293804
361,0.00141064868021704
362,0.0007011858955525891
363,0.0002453623970007015
364,2.630913804956076e-05
365,2.9499904578782925e-05
366,0.0002360927364376809
367,0.0006247165220176863
368,0.0011769297377334927
369,0.0018676985784826486
370,0.002678071231249261
371,0.0035886563440435323
372,0.004582159363256076
373,0.0056424755506187824
374,0.006754678700094209
375,0.007904962723724032
376,0.009080750054163991
377,0.010270511357053232
378,0.011463861628044941
379,0.012651390912644823
380,0.013824733224875471
381,0.014979447377683685
382,0.016099914209447168
383,0.01718067973829065
384,0.018219993275663177
385,0.019223336969158483
386,0.02018802039328042
387,0.021143927142032604
388,0.02204057059433032
389,0.02287922722352731
390,0.02363093331154676
391,0.02434270042710176
392,0.025017113683090852
393,0.025663989079715933
394,0.02625015247609555
395,0.026786181840047586
396,0.027242363526136643
397,0.027632912669210048
398,0.02800150324042101
399,0.028319298254482726
400,0.028587753346621864
401,0.0288109347861514
402,0.028989735864823098
403,0.02910602690786424
404,0.02917010818028448
405,0.029239080338237345
406,0.029264959014825016
