frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,0.001930454136227711,0.5,0.0999695647115151,-0.0,-0.0,-1.573666844668339e-06,-0.00013587450666818768,-0.0,-1.6296464224633467e-10,-1.218174164044092e-08,-2.5197534564981266e-11
1,0.0019611769388294406,0.4999932502710827,0.09996979968731559,-1.676048122967447e-06,-1.2837134500005615e-07,-4.612141211116686e-06,-0.00019930710550397635,-0.0016266487073153257,-6.458673853527166e-11,-1.7235034441234437e-08,-5.5051590645819964e-11
2,0.0019962217838758525,0.4999913784988616,0.09997043585671395,-5.286292327390702e-06,-1.2601161232330064e-06,-7.963605003128663e-06,-0.00026117730885744095,-0.0007513349992223084,-1.1393752663874507e-09,-2.1960004976791996e-08,-5.683182904552019e-09
3,0.0020355744949854394,0.4999927181804347,0.09997136261968116,-9.17749720704055e-06,-1.4431841508428565e-05,-1.1241123998555659e-05,-8.681562030687928e-05,-0.0031100844498723745,-1.7510492299212555e-09,-2.3274032062130658e-08,-4.4236843549033185e-08
4,0.0020767223885555224,0.4999999207114691,0.09997249814635167,-1.3511071328201946e-05,-3.324696545252304e-05,-1.528531674397455e-05,-5.0371381803415716e-05,-0.00029646724578924477,-1.997560359350759e-09,-2.065672550122569e-08,-1.5679485700842102e-07
5,0.002116883996313277,0.49999640882745644,0.09997378433027926,-1.7696905631329336e-05,-5.4365284293833184e-05,-2.0891997742409248e-05,-3.427359843044542e-05,-0.00010813097469508648,-2.1067769995544486e-09,-1.6063371773415758e-08,-3.8947944001683727e-07
6,0.002156408441749523,0.4999855177213149,0.09997516787485028,-2.141564752847251e-05,-7.686010705755941e-05,-2.866723361974745e-05,-2.3799513655831106e-05,-7.588501466671005e-05,-2.115328450906994e-09,-1.103714642107835e-08,-7.895013570593846e-07
7,0.002195244616959381,0.4999709040712545,0.09997660504882168,-2.455215233696233e-05,-9.89113941650913e-05,-3.9008437256375066e-05,-1.618356145627331e-05,-6.234289321582764e-05,-2.0216813488552313e-09,-6.627433706265013e-09,-1.398592378925694e-06
8,0.0022331117564184863,0.4999544036248817,0.09997806162312461,-2.709185101819955e-05,-0.00011807932357551459,-5.2059023517280975e-05,-1.1419884685892612e-05,-4.218246613163501e-05,-1.8970686310498442e-09,-3.368540585653259e-09,-2.2472019914092334e-06
9,0.002269858273629435,0.49993831569884384,0.09997951111595721,-2.9025675881406504e-05,-0.00013304238647491746,-6.778871603463143e-05,-8.519567018083762e-06,-3.1450832466362044e-05,-1.7726202894913587e-09,-1.3465188640349396e-09,-3.3520959833891714e-06
10,0.0023054502572036634,0.49992456727984214,0.09998093317055667,-3.0378278606858612e-05,-0.00014314922309830493,-8.602784695974693e-05,-6.903861503815278e-06,-2.4962790121207945e-05,-1.6616574105934385e-09,-3.447340233255703e-10,-4.715264264217189e-06
11,0.002339875946048004,0.499914710676407,0.09998231252858525,-3.119346605087981e-05,-0.00014819917548809688,-0.00010651140364000308,-6.239486083359225e-06,-2.0009458239655942e-05,-1.569685716321961e-09,-1.9110633212731346e-11,-6.3242627576518e-06
12,0.0023731674472337086,0.4999098579906558,0.09998363808062007,-3.1522883461781386e-05,-0.00014847641692486654,-0.00012891562870972695,-6.27497729510651e-06,-1.6108189811347984e-05,-1.4785246739982109e-09,-3.091611626372865e-11,-8.154081612272665e-06
13,0.0024053901582810674,0.4999105931741811,0.09998490204607666,-3.1420791729600914e-05,-0.00014461903175886135,-0.00015289095245890776,-6.80358834870276e-06,-1.2974575838597957e-05,-1.4308772064957545e-09,-1.2521386319805792e-10,-1.0169914442210627e-05
14,0.002436638726939574,0.49991689810810563,0.0999860993011416,-3.094244507838931e-05,-0.00013747864248324097,-0.00017808696574972207,-7.662379175599199e-06,-1.033580701914616e-05,-1.3944414371427256e-09,-1.609164809024858e-10,-1.2330498588443351e-05
15,0.0024670367355676005,0.4999280887984321,0.09998722683627398,-3.0141755688162133e-05,-0.0001280239075492433,-0.00020416712495560253,-8.707593224244192e-06,-8.280578185804188e-06,-1.3889262957366852e-09,-1.0712039025799867e-10,-1.4591447883797263e-05
