frame,omega_vel_error
0,0.0
1,0.001125356369244031
2,0.003131890351955628
3,0.002721921735206849
4,0.0014202116638589886
5,0.000681997572387463
6,0.0003662011829396913
7,0.0002391352245986705
8,0.00018589810002327402
9,0.00014385743947607058
10,0.0001132393596413276
11,9.716040534773017e-05
12,9.642803560122858e-05
13,0.00010996665397979219
14,0.00013765572925890737
15,0.0001786122321806758
16,0.0002303124564279345
17,0.00028812134456209393
18,0.00034574155900429597
19,0.0003974495639782513
20,0.00043764325564836395
21,0.0004627028147830693
22,0.0004709991170080649
23,0.0004629824729923382
24,0.00044072026931921333
25,0.00040734759402521965
26,0.0003661973492354896
27,0.00032054454359756293
28,0.00027329060710519184
29,0.00022676487911429567
30,0.0001827348690786217
31,0.00014246869571223923
32,0.00010683309655049836
33,7.635233244656174e-05
34,5.126380382649652e-05
35,3.156011634873548e-05
36,1.7026192310289884e-05
37,7.276123859893162e-06
38,1.800668919771886e-06
39,4.576168695680822e-09
40,1.2503188412859555e-06
41,4.894510541654137e-06
42,1.0298595321326849e-05
43,1.6890333281179936e-05
44,2.4118498420486282e-05
45,3.1525419300632634e-05
46,3.8712450864212573e-05
47,4.6020511544677755e-05
48,9.66182915715056e-05
49,0.00019199735027785206
50,0.0004897795754333997
51,0.0009127265950228423
52,0.0008160068677121096
53,0.000662672721433328
54,0.0004966376323810535
55,0.0003607585802225068
56,0.0002618495473947266
57,0.00019765379944716496
58,0.00015512130029024068
59,0.0001255872875029042
60,0.00010313426566418514
61,8.456626439473214e-05
62,6.823751847325252e-05
63,5.360927099081718e-05
64,4.048611841910842e-05
65,2.9017004823125694e-05
66,1.9358080634276315e-05
67,1.163438159793603e-05
68,5.891627966644584e-06
69,2.1144375100617347e-06
70,2.4433144572361423e-07
71,2.032662041117961e-07
72,1.904030690679984e-06
73,5.263206673454626e-06
74,1.0178751430854179e-05
75,1.6563383879976747e-05
76,2.429771182108671e-05
77,3.326707372430987e-05
78,4.3308690534585566e-05
79,5.4276586180320084e-05
80,6.597850703276363e-05
81,7.821575723971638e-05
82,9.07701149802866e-05
83,0.0001034128961560542
84,0.00011589778633176896
85,0.00012797765895941935
86,0.00013940510673171008
87,0.00014993020273348727
88,0.00015931615020224854
89,0.00016733109468997784
90,0.00017378439231580524
91,0.00017849383659154712
92,0.00018240088075024494
93,7.545658601208787e-05
94,3.0399511600145008e-05
95,3.0664544525325255e-06
96,8.512910709579303e-08
97,2.0068715416894156e-06
98,1.053518211661951e-05
99,2.679495200452349e-05
100,4.2820657946718666e-05
101,7.324680603974115e-06
102,3.7843325726635616e-08
103,3.0444757635876032e-05
104,1.768648853706981e-05
105,6.711981705476469e-06
106,8.10973126009527e-07
107,8.397434962529093e-07
108,6.08022279178441e-06
109,1.1906081635392276e-05
110,1.589448997407634e-05
111,1.770236049541115e-05
112,1.7867154984112963e-05
113,1.7070701237951398e-05
114,1.5885495862466997e-05
115,1.4664177990658755e-05
116,1.3543983116305806e-05
117,1.2561608749571082e-05
118,1.170781454101543e-05
119,1.0927795657075064e-05
120,1.0219499969064194e-05
121,9.551930776766124e-06
122,8.904119251510943e-06
123,8.241144681361843e-06
124,7.567075983788945e-06
125,6.864579102293471e-06
126,6.104974138655646e-06
127,5.3517704487063515e-06
128,4.5499376557274685e-06
129,3.712189633261356e-06
130,2.856677300984401e-06
131,2.010379647480103e-06
132,1.2138770202492894e-06
133,5.414504315927988e-07
134,9.45419349092437e-08
135,3.8272450383184713e-08
136,6.180664574100062e-07
137,2.174006385646675e-06
138,5.12389977912422e-06
139,9.88354192697182e-06
140,1.670118007211408e-05
141,2.539775881988906e-05
142,3.511083683421168e-05
143,4.421601366700856e-05
144,5.059157727913157e-05
145,5.2315721719352795e-05
146,4.8577404053832255e-05
147,4.0188305220945945e-05
148,2.937969487201136e-05
149,1.8676942552612127e-05
150,1.0154367770270195e-05
151,4.582123330226558e-06
152,1.6301946333951106e-06
153,4.147077155407842e-07
154,6.44877150116474e-08
155,5.478210699865164e-09
156,4.460316556689616e-09
157,3.281166810935825e-08
158,1.3575073779220893e-07
159,3.4791303600139236e-07
160,6.522068059808261e-07
161,1.007102974167444e-06
162,1.3479054252983031e-06
163,1.61121515815298e-06
164,1.744238649061463e-06
165,1.7155400886985774e-06
166,1.517911508722717e-06
167,1.1739899649139004e-06
168,7.418820222669219e-07
169,3.1484104105862415e-07
170,3.282659404718885e-08
171,7.973389922346907e-08
172,6.909601245872347e-07
173,2.15454968949009e-06
174,4.813073104071794e-06
175,9.066539980167106e-06
176,1.536919131167084e-05
177,2.423221876698995e-05
178,3.6215041162017565e-05
179,5.1671099489301746e-05
180,6.626947891100354e-05
181,6.427686209891016e-05
182,7.921086364194491e-05
183,8.607303771728306e-05
184,0.00013442671865022897
185,0.00019487027062337674
186,0.0002713697946676066
187,0.00036348044795542775
188,0.0004793355918054511
189,0.0005965732090030618
190,0.00071078462203848
191,0.0008239260013344407
192,0.0009402180835790905
193,0.0010642269214819545
194,0.001197799836283292
195,0.0013413214856637177
196,0.0014938956332719436
197,0.0016539543858902028
198,0.0018193125003328338
199,0.0019877925689675236
200,0.002156860541010668
201,0.002351011331019336
202,0.002070407104347336
203,0.0019146226197016263
204,0.0018683959580469299
205,0.0021077713563600587
206,0.0023446194917494294
207,0.0025841787154376465
208,0.002818850539885396
209,0.002518053678696104
210,0.0016745990630623912
