frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,0.0001930454136227711,0.05,0.04998478235575755,-0.0,-0.0,-1.7175840937876743e-07,-0.016060804948210716,-0.0,-8.984479674307239e-10,-2.3828852666093164e-09,-7.925037772298827e-09
1,0.00018678768912954046,0.04964955998523904,0.049984925819756325,-4.156474230936349e-07,-3.9644884212737814e-05,-5.688451830040254e-07,-0.012901023030281067,-0.00046207380364649,-2.0555918750983767e-09,-1.3206045224130482e-08,-1.125124969165353e-07
2,0.00018236997122515153,0.049030800914792234,0.04998531757114322,-1.3589887830772203e-06,-0.0001237088854200383,-1.2061074667763059e-06,-0.004323884844779968,-0.004722659010440111,-2.208577468019496e-09,-1.7264576660772467e-07,-4.475419101695261e-07
3,0.00018434114849778414,0.04915659381596864,0.0499858828360508,-2.151204163782778e-06,-0.00015629069586280673,-2.2491850093832626e-06,-0.0017542158020660281,-0.0016212553018704057,-1.6573987437522975e-09,-6.734755268944947e-07,-1.0528917711439677e-06
4,0.0001885961412032175,0.049558147767679424,0.049986558067771865,-2.8340327414439274e-06,-0.0001652962980650429,-3.6228431790338808e-06,-0.0013836543075740337,-0.00014810975699219853,-9.705955733730073e-10,-1.566558420887403e-06,-1.9473214367835404e-06
5,0.0001921643928858644,0.04978732933337085,0.0499873063611303,-3.499161669677056e-06,-0.00017971353544520973,-5.241221234225257e-06,-0.0014641444431617856,-0.00014653592370450497,-4.938690916447249e-10,-2.769874591343986e-06,-3.1802079686932026e-06
6,0.00019500494384568163,0.04988569299073655,0.04998810013447771,-4.109370009631358e-06,-0.00020050167045878578,-7.096746762268373e-06,-0.0014861013041809201,-4.74717489851173e-05,-2.2342363923896672e-10,-4.151883272586805e-06,-4.800697383080002e-06
7,0.00019784212439131698,0.049925326059868075,0.04998891473935946,-4.583189461417214e-06,-0.0002191006139937166,-9.219815476675987e-06,-0.0013012854615226388,-3.1286501325666904e-05,-1.270793376262945e-10,-5.588784859970918e-06,-6.8277301230187296e-06
8,0.00020107011188557497,0.04994194057882432,0.049989728709871034,-4.887824192095521e-06,-0.0002300865279285392,-1.1721070604495695e-05,-0.000986026949249208,-5.966253957012668e-05,-2.2284894615791468e-10,-6.969826319965395e-06,-9.233357394833698e-06
9,0.00020517639326283284,0.049955064754032816,0.04999052470860549,-5.0001142686807615e-06,-0.0002276620237241357,-1.4673271341575646e-05,-0.0008287692326121032,-3.6878402170259506e-05,-5.169118703148723e-10,-8.202511038684515e-06,-1.1951476664368884e-05
10,0.00021000463699868046,0.04996462521976827,0.049991290013863356,-4.961400015306529e-06,-0.00021638166748227242,-1.8103932995851593e-05,-0.0007843044586479664,-1.92246134247398e-05,-9.672683776101231e-10,-9.2255058259682e-06,-1.490946389622077e-05
11,0.00021540340235416235,0.04996964659035404,0.049992016380420556,-4.807205805812075e-06,-0.00020065086262776525,-2.200987533684984e-05,-0.0008028005249798298,-1.0843119525816292e-05,-1.5161167282155394e-09,-1.0011982074214952e-05,-1.80395006888182e-05
12,0.00022124583218460542,0.049969875317486305,0.0499926987687132,-4.567624963536195e-06,-0.00018381137994884277,-2.637551612256348e-05,-0.0008519684197381139,-7.523401563958032e-06,-2.1164392385461508e-09,-1.056420969738423e-05,-2.1284449392677268e-05
13,0.00022744302588732958,0.04996564722716947,0.04999333446287244,-4.266854596891581e-06,-0.0001679726825377609,-3.117051675888477e-05,-0.0009151236154139042,-5.866045285074506e-06,-2.742143056890628e-09,-1.090378183474509e-05,-2.4601489703531395e-05
14,0.0002338937460575575,0.0499570010842811,0.04999392246049236,-3.92679278207048e-06,-0.000154537314950372,-3.6348777336625344e-05,-0.0009805193403735757,-5.074953151051886e-06,-3.393832843464524e-09,-1.1061763899648793e-05,-2.7963358204118863e-05
15,0.00024051908769451045,0.04994421482047251,0.049994463005953976,-3.5640349245390778e-06,-0.00014401584590561633,-4.184863176782962e-05,-0.0010421887272968888,-4.595305654220283e-06,-4.117185893751448e-09,-1.1072726453026635e-05,-3.135617451200805e-05
16,0.00024725075325465794,0.04992807913313324,0.04999495720172906,-3.1915046891177073e-06,-0.0001364000489170729,-4.759599288472309e-05,-0.0010973879834637046,-4.376223841973115e-06,-4.887910739808345e-09,-1.0970893094528902e-05,-3.4776807660300625e-05
17,0.00025402984395428923,0.04991004309945549,0.049995406730957634,-2.8191452974953026e-06,-0.0001313680936349974,-5.351097536027245e-05,-0.0011460413224995136,-4.432955847732956e-06,-5.785300644722996e-09,-1.078760973079687e-05,-3.82304287576122e-05
18,0.0002607989522234715,0.04989207241434442,0.04999581366363215,-2.4552825537012346e-06,-0.00012847302170672858,-5.9520327226915275e-05,-0.0011888262815773487,-4.4643215915129986e-06,-6.879831206457433e-09,-1.054971246017399e-05,-4.172824750088934e-05
