frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,1.1253517471925913e-08,0.05,0.04998478235575755,-0.0,-0.0,-1.7696318229836685e-07,-0.0,-0.0,-1.1899700723006973e-10,-9.989545908051147e-09,-1.4619803761004649e-12
1,1.1890359774916987e-08,0.04999999999918802,0.049984905008461936,-1.8730847248113102e-06,-7.505479350661913e-09,-5.533489036903774e-07,-0.0,-0.0,-2.2961164190679887e-10,-9.760570383230214e-09,-1.9932625178916313e-11
2,1.2499134991313604e-08,0.04999999999586066,0.049985240950594666,-6.3375367009158065e-06,-1.888892617797516e-08,-1.0545995283974819e-06,-0.0,-0.0,-2.4861010956193513e-10,-9.38777904418614e-09,-7.676279717333966e-11
3,1.3097543148084885e-08,0.04999999999117209,0.04998573800164841,-1.178329067153724e-05,-2.601213012366594e-08,-1.688563020454469e-06,-0.0,-0.0,-2.0568008793155138e-10,-8.891299242602764e-09,-1.8068695709428767e-10
4,1.3688630199916576e-08,0.0499999999860696,0.04998634939161427,-1.7254705156588968e-05,-2.737732005331263e-08,-2.4913718528115223e-06,-0.0,-0.0,-1.416715746427865e-10,-8.300838912219586e-09,-3.251476062776934e-10
5,1.4276187793151067e-08,0.04999999998102403,0.049987036899174435,-2.2223641627803044e-05,-2.4222357341531084e-08,-3.4995037807784426e-06,-0.0,-0.0,-8.271065873325037e-11,-7.64956664631878e-09,-4.927874309209246e-10
6,1.4863637618244936e-08,0.04999999997633064,0.049987769993250525,-2.6428517257690292e-05,-1.8550553393836206e-08,-4.7380524704286e-06,-0.0,-0.0,-3.9742147629187884e-11,-6.96991857983639e-09,-6.615400196477147e-10
7,1.5454039300014563e-08,0.04999999997224244,0.04998852475574605,-2.977039824007071e-05,-1.2217654157553976e-08,-6.217539604984842e-06,-0.0,-0.0,-1.4050842161846235e-11,-6.2900315454686605e-09,-8.098618216115326e-10
8,1.6050105081776523e-08,0.0499999999688034,0.04998928280105023,-3.224652998228246e-05,-6.593660209290909e-09,-7.935058149495846e-06,-0.0,-0.0,-2.3674798803512647e-12,-5.632454670086969e-09,-9.203022263524491e-10
9,1.6654257151573003e-08,0.04999999996617216,0.04999003028221705,-3.390860498826621e-05,-2.5127603280874496e-09,-9.876982118671113e-06,-0.0,-0.0,-1.505758770626019e-13,-5.013328241661758e-09,-9.814081288701606e-10
10,1.7268632081655984e-08,0.04999999996400348,0.04999075702047745,-3.4836657892922e-05,-3.507841752324431e-10,-1.2022309778331216e-05,-0.0,-0.0,-3.2616222270583526e-12,-4.442217444717697e-09,-9.882856044351983e-10
11,1.7895163445423808e-08,0.04999999996243887,0.049991455764482245,-3.512275786019061e-05,-1.4335284881913775e-10,-1.4345554551847416e-05,-0.0,-0.0,-8.590940139383123e-12,-3.923839042551269e-09,-9.422230952017021e-10
12,1.85356056398612e-08,0.04999999996148413,0.04999212157358958,-3.48614757523276e-05,-1.7029734204920553e-09,-1.6819157044755184e-05,-0.0,-0.0,-1.4117089392765298e-11,-3.45932951265509e-09,-8.497493254089625e-10
13,1.9191577612054472e-08,0.049999999960954056,0.0499927513128413,-3.4144229649431846e-05,-4.71675156056728e-09,-1.9415427473871963e-05,-0.0,-0.0,-1.8719304667404738e-11,-3.047162811351881e-09,-7.21420549528984e-10
14,1.986462919752659e-08,0.04999999996073996,0.049993343244119415,-3.305628759032967e-05,-8.820034220830462e-09,-2.2107605951555277e-05,-0.0,-0.0,-2.1922811542581253e-11,-2.6840528958760143e-09,-5.705501910801776e-10
15,2.0556231576070916e-08,0.04999999996080398,0.04999389669842659,-3.1675332860926475e-05,-1.3646926381884516e-08,-2.4870844939658002e-05,-0.0,-0.0,-2.3664381428028383e-11,-2.365805970445215e-09,-4.1201797993640903e-10
16,2.126785005522599e-08,0.049999999961106684,0.049994411814674344,-3.0070829789025308e-05,-1.886210791700671e-08,-2.768254742437781e-05,-0.0,-0.0,-2.410957912211112e-11,-2.0878471874277513e-09,-2.61236556040145e-10
17,2.2000948529445517e-08,0.0499999999615761,0.049994889333127276,-2.8304230298687064e-05,-2.4177937189556586e-08,-3.052319461264424e-05,-0.0,-0.0,-2.3544480951150318e-11,-1.845603890918031e-09,-1.3330800594119974e-10
18,2.275694980966054e-08,0.04999999996204771,0.04999533043105061,-2.6428919852252234e-05,-2.936778977695353e-08,-3.33809782437944e-05,-0.0,-0.0,-2.2701956249917424e-11,-1.6346738478326057e-09,-4.235480185956618e-11
19,2.353686482274288e-08,0.049999999962250734,0.04999573655845095,-2.449014074488009e-05,-3.431087535562571e-08,-3.62459666269675e-05,-0.0,-0.0,-2.2067029878523886e-11,-1.451018939795537e-09,-1.218405883310257e-12
20,2.434180871835493e-08,0.04999999996227974,0.04999610932169001,-2.2528091902006847e-05,-3.8931746439037736e-08,-3.910716638870801e-05,-0.0,-0.0,-2.1734499137709266e-11,-1.2910435482265144e-09,-2.1333427223784292e-11
21,2.517332182571954e-08,0.049999999962128644,0.049996450460859695,-2.057802420273295e-05,-4.316078804801298e-08,-4.195292943285233e-05,-0.0,-0.0,-2.163576805946181e-11,-1.1515765960351633e-09,-1.1267134361048623e-10
