frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,0.0001930454136227711,0.05,0.04998478235575755,-0.0,-0.0,-1.7696318229836685e-07,-0.0,-0.0,-1.1899700723006973e-10,-9.989545908051147e-09,-1.4619803761004649e-12
1,0.0001972413857822022,0.049999999999682826,0.049984905008461936,-1.8730847248113098e-07,-7.505479350661913e-09,-5.533489036903774e-07,-0.0,-0.0,-2.2961164190679887e-10,-9.760570383230214e-09,-1.9932625178916313e-11
2,0.0002011262395929889,0.04999999999838307,0.049985240950594666,-6.337536700915806e-07,-1.888892617797516e-08,-1.0545995283974819e-06,-0.0,-0.0,-2.4861010956193513e-10,-9.38777904418614e-09,-7.676279717333966e-11
3,0.0002048341105634207,0.0499999999965516,0.04998573800164841,-1.1783290671537239e-06,-2.601213012366594e-08,-1.688563020454469e-06,-0.0,-0.0,-2.0568008793155138e-10,-8.891299242602764e-09,-1.8068695709428767e-10
4,0.0002083965963455333,0.04999999999455844,0.04998634939161427,-1.7254705156588965e-06,-2.737732005331263e-08,-2.4913718528115223e-06,-0.0,-0.0,-1.416715746427865e-10,-8.300838912219586e-09,-3.251476062776934e-10
5,0.0002118460696456946,0.049999999992587515,0.049987036899174435,-2.222364162780304e-06,-2.4222357341531084e-08,-3.4995037807784426e-06,-0.0,-0.0,-8.271065873325037e-11,-7.64956664631878e-09,-4.927874309209246e-10
6,0.00021520946630995496,0.049999999990754156,0.049987769993250525,-2.6428517257690295e-06,-1.8550553393836206e-08,-4.7380524704286e-06,-0.0,-0.0,-3.9742147629187884e-11,-6.96991857983639e-09,-6.615400196477147e-10
7,0.00021850910393242634,0.049999999989157204,0.04998852475574605,-2.9770398240070707e-06,-1.2217654157553976e-08,-6.217539604984842e-06,-0.0,-0.0,-1.4050842161846235e-11,-6.2900315454686605e-09,-8.098618216115326e-10
8,0.00022176336195154522,0.04999999998781383,0.04998928280105023,-3.2246529982282464e-06,-6.593660209290909e-09,-7.935058149495846e-06,-0.0,-0.0,-2.3674798803512647e-12,-5.632454670086969e-09,-9.203022263524491e-10
9,0.00022498745706122085,0.049999999986786,0.04999003028221705,-3.3908604988266212e-06,-2.5127603280874496e-09,-9.876982118671113e-06,-0.0,-0.0,-1.505758770626019e-13,-5.013328241661758e-09,-9.814081288701606e-10
10,0.0002281938215506573,0.04999999998593886,0.04999075702047745,-3.4836657892922e-06,-3.507841752324431e-10,-1.2022309778331216e-05,-0.0,-0.0,-3.2616222270583526e-12,-4.442217444717697e-09,-9.882856044351983e-10
11,0.0002313928157149413,0.049999999985327684,0.049991455764482245,-3.5122757860190606e-06,-1.4335284881913775e-10,-1.4345554551847416e-05,-0.0,-0.0,-8.590940139383123e-12,-3.923839042551269e-09,-9.422230952017021e-10
12,0.00023459305385251382,0.04999999998495474,0.04999212157358958,-3.4861475752327603e-06,-1.7029734204920553e-09,-1.6819157044755184e-05,-0.0,-0.0,-1.4117089392765298e-11,-3.45932951265509e-09,-8.497493254089625e-10
13,0.00023780178382503886,0.04999999998474768,0.0499927513128413,-3.414422964943185e-06,-4.71675156056728e-09,-1.9415427473871963e-05,-0.0,-0.0,-1.8719304667404738e-11,-3.047162811351881e-09,-7.21420549528984e-10
14,0.00024102532700473825,0.04999999998466405,0.049993343244119415,-3.305628759032967e-06,-8.820034220830462e-09,-2.2107605951555277e-05,-0.0,-0.0,-2.1922811542581253e-11,-2.6840528958760143e-09,-5.705501910801776e-10
15,0.00024426911295674495,0.049999999984689056,0.04999389669842659,-3.1675332860926476e-06,-1.3646926381884516e-08,-2.4870844939658002e-05,-0.0,-0.0,-2.3664381428028383e-11,-2.365805970445215e-09,-4.1201797993640903e-10
16,0.00024753808523228217,0.0499999999848073,0.049994411814674344,-3.0070829789025304e-06,-1.886210791700671e-08,-2.768254742437781e-05,-0.0,-0.0,-2.410957912211112e-11,-2.0878471874277513e-09,-2.61236556040145e-10
17,0.0002508367550183133,0.04999999998499066,0.049994889333127276,-2.8304230298687064e-06,-2.4177937189556586e-08,-3.052319461264424e-05,-0.0,-0.0,-2.3544480951150318e-11,-1.845603890918031e-09,-1.3330800594119974e-10
18,0.0002541690562946666,0.04999999998517488,0.04999533043105061,-2.6428919852252233e-06,-2.936778977695353e-08,-3.33809782437944e-05,-0.0,-0.0,-2.2701956249917424e-11,-1.6346738478326057e-09,-4.235480185956618e-11
19,0.00025753680408410767,0.049999999985254194,0.04999573655845095,-2.4490140744880093e-06,-3.431087535562571e-08,-3.62459666269675e-05,-0.0,-0.0,-2.2067029878523886e-11,-1.451018939795537e-09,-1.218405883310257e-12
20,0.00026094205617023807,0.049999999985265525,0.04999610932169001,-2.2528091902006845e-06,-3.8931746439037736e-08,-3.910716638870801e-05,-0.0,-0.0,-2.1734499137709266e-11,-1.2910435482265144e-09,-2.1333427223784292e-11
21,0.0002643883982568423,0.0499999999852065,0.049996450460859695,-2.0578024202732947e-06,-4.316078804801298e-08,-4.195292943285233e-05,-0.0,-0.0,-2.163576805946181e-11,-1.1515765960351633e-09,-1.1267134361048623e-10
22,0.0002678803862720064,0.04999999998513041,0.04999676182313856,-1.8669542522676054e-06,-4.6935241094810446e-08,-4.477148094753929e-05,-0.0,-0.0,-2.1629781738975723e-11,-1.0298415283974675e-09,-2.8362441520198636e-10
23,0.00027142321356245935,0.04999999998504777,0.04999704532412765,-1.6826340046412021e-06,-5.020281177453281e-08,-4.755156757180959e-05,-0.0,-0.0,-2.1555113026969536e-11,-9.234202634266375e-10,-5.409004853747064e-10
24,0.0002750226174368882,0.04999999998496719,0.04999730290668855,-1.5066556061747035e-06,-5.2925264750796125e-08,-5.0282510124621795e-05,-0.0,-0.0,-2.1264135010371606e-11,-8.302125937861575e-10,-8.89454712825068e-10
25,0.00027868449979409583,0.04999999998490703,0.04999753650337285,-1.3403452887172375e-06,-5.50800402353638e-08,-5.295403431155578e-05,-0.0,-0.0,-2.0623150267893897e-11,-7.484241603625138e-10,-1.3324572751275396e-09
26,0.0002824152680182664,0.049999999984891595,0.04999774800581803,-1.184603284511514e-06,-5.665457190825123e-08,-5.555534314976071e-05,-0.0,-0.0,-1.9468789756918603e-11,-6.765186761884243e-10,-1.8712593740171876e-09
27,0.00028622198428241975,0.0499999999849314,0.04999793924848694,-1.0399809141455408e-06,-5.7637081157991065e-08,-5.8077996786429255e-05,-0.0,-0.0,-1.7795425839066043e-11,-6.131666791924227e-10,-2.505438589389646e-09
28,0.00029011127217749356,0.04999999998502546,0.04999811198697554,-9.066906613236566e-07,-5.8045198150420027e-08,-6.051616468684619e-05,-0.0,-0.0,-1.5735907940975893e-11,-5.572284842821721e-10,-3.2329392141259817e-09
29,0.0002940894426933366,0.04999999998516791,0.04999826787332769,-7.846945796046781e-07,-5.792241256483698e-08,-6.286570569104092e-05,-0.0,-0.0,-1.3479825002140507e-11,-5.077277956294137e-10,-4.050329581477809e-09
30,0.0002981624851965653,0.04999999998530985,0.049998408444001836,-6.737893253380427e-07,-5.7327537557221746e-08,-6.512397171075887e-05,-0.0,-0.0,-1.1211155738948957e-11,-4.6381799065307243e-10,-4.953064093353912e-09
31,0.0003023364263275504,0.04999999998546723,0.04999853511680712,-5.736487570531766e-07,-5.632723815381073e-08,-6.728924655686866e-05,-0.0,-0.0,-9.075506636116606e-12,-4.247656972003782e-10,-5.935743099391721e-09
32,0.00030661733632187846,0.049999999985638116,0.049998649193107134,-4.838612427699409e-07,-5.4989892250132055e-08,-6.936029582646624e-05,-0.0,-0.0,-7.168473403680802e-12,-3.899468271805939e-10,-6.992352392536141e-09
33,0.0003110113233136279,0.04999999998581108,0.04999875186305088,-4.039497627148426e-07,-5.3381337782770984e-08,-7.13367150759616e-05,-0.0,-0.0,-5.538952938859557e-12,-3.588372604429524e-10,-8.116477601073229e-09
34,0.0003155249617069486,0.04999999998596977,0.049998844211993236,-3.333814790278523e-07,-5.156300280728887e-08,-7.321809315398006e-05,-0.0,-0.0,-4.198447005312138e-12,-3.309786419177239e-10,-9.30148691693686e-09
35,0.0003201649043110458,0.049999999986124435,0.04999892722790213,-2.7159692979934854e-07,-4.9589555519018396e-08,-7.500431590885084e-05,-0.0,-0.0,-3.1325223138280306e-12,-3.0596794833170155e-10,-1.0540679958075352e-08
36,0.00032493818011926557,0.04999999998627569,0.04999900180900149,-2.18008759711045e-07,-4.75088240876087e-08,-7.669532344450913e-05,-0.0,-0.0,-2.311464449853975e-12,-2.8346091470114483e-10,-1.1827407967274784e-08
37,0.0003298521097120665,0.04999999998641749,0.04999906877097348,-1.720153228826655e-07,-4.536154125402877e-08,-7.829092751927696e-05,-0.0,-0.0,-1.6997781513515196e-12,-2.6316031446902486e-10,-1.3155164044149584e-08
38,0.0003349142383292933,0.04999999998655966,0.04999912885406136,-1.330099096263522e-07,-4.318152138768547e-08,-7.979146736813877e-05,-0.0,-0.0,-1.2576300023571719e-12,-2.448081460997819e-10,-1.4517653961256227e-08
39,0.00034013275963238297,0.049999999986715164,0.04999918272921747,-1.0037661333601575e-07,-4.0997016908916524e-08,-8.119675083635097e-05,-0.0,-0.0,-9.484617318416514e-13,-2.2818039351105035e-10,-1.5908844599224247e-08
40,0.0003455158839734526,0.049999999986871456,0.049999231004124456,-7.351459903727266e-08,-3.883021566867957e-08,-8.250684667907585e-05,-0.0,-0.0,-7.412410552488639e-13,-2.1308315573327831e-10,-1.73229929342883e-08
41,0.000351072326186396,0.049999999987009956,0.04999927422898604,-5.1831459464622705e-08,-3.6698819012802514e-08,-8.372180989851748e-05,-0.0,-0.0,-6.097206419511772e-13,-1.9934927833383805e-10,-1.8754666340436535e-08
42,0.00035681114899192926,0.04999999998715062,0.04999931290163197,-3.475482405504506e-08,-3.4616433516937166e-08,-8.484152980222036e-05,-0.0,-0.0,-5.330947518766716e-13,-1.8682980338243376e-10,-2.0198748598430028e-08
43,0.0003627416606967859,0.049999999987286214,0.04999934747248863,-2.173474695892102e-08,-3.2593086131075285e-08,-8.586643111695231e-05,-0.0,-0.0,-4.950534816545356e-13,-1.753926430546872e-10,-2.165044301031497e-08
44,0.0003688738298303604,0.049999999987412315,0.04999937834864318,-1.2244479937142927e-08,-3.063642876446484e-08,-8.679643389755047e-05,-0.0,-0.0,-4.839158647380823e-13,-1.6492596125708645e-10,-2.3105266770398316e-08
45,0.0003752176652470386,0.0499999999875356,0.04999940589790206,-5.791044262970622e-09,-2.8751326637818782e-08,-8.763177925924501e-05,-0.0,-0.0,-4.899212591960401e-13,-1.553316058226133e-10,-2.455903866638022e-08
46,0.00038178371551420535,0.04999999998765812,0.049999430452803945,-1.9130034433090007e-09,-2.6941033315604956e-08,-8.837273199189444e-05,-0.0,-0.0,-5.070392032566054e-13,-1.4652115702569811e-10,-2.6007869249444174e-08
47,0.0003885828866095703,0.04999999998776992,0.049999452314001144,-1.834190390174229e-10,-2.520729452678223e-08,-8.901945701541356e-05,-0.0,-0.0,-5.302665601956491e-13,-1.3841704737221707e-10,-2.7448144854418037e-08
48,0.0003956263760324529,0.049999999987867805,0.04999947175358164,-2.1072461733777105e-10,-2.3550580292467204e-08,-8.957268850219039e-05,-0.0,-0.0,-5.567939260638549e-13,-1.3094901380610668e-10,-2.8876516394106307e-08
49,0.0004029260567165425,0.0499999999879845,0.049999489017727924,-1.6394647852007178e-09,-2.197082774393582e-08,-9.003271503240687e-05,-0.0,-0.0,-5.847974488717924e-13,-1.2405800306749124e-10,-3.0289884418530836e-08
50,0.0004104938974699682,0.04999999998807453,0.049999504329333144,-4.150336540667544e-09,-2.0466914934769212e-08,-9.040017581425174e-05,-0.0,-0.0,-6.125592749097294e-13,-1.1769069759449976e-10,-3.1685381613889274e-08
51,0.0004183424422067021,0.04999999998815716,0.04999951789060589,-7.459543124462155e-09,-1.903741527640705e-08,-9.067578175077152e-05,-0.0,-0.0,-6.392688554576076e-13,-1.117959461183751e-10,-3.306036162095007e-08
52,0.00042648466937844653,0.0499999999882695,0.04999952988520166,-1.1317248755690889e-08,-1.7680525727285566e-08,-9.086016558227242e-05,-0.0,-0.0,-6.652333709268713e-13,-1.0633042217199326e-10,-3.4412383504365157e-08
53,0.00043493389189727303,0.04999999998835038,0.04999954048030028,-1.5505947070937206e-08,-1.6394088835851285e-08,-9.095454382728314e-05,-0.0,-0.0,-6.902916146573875e-13,-1.0125968982278597e-10,-3.573920299999004e-08
54,0.0004437041728772808,0.04999999998839887,0.04999954982811772,-1.984166800643368e-08,-1.5176074443956993e-08,-9.095971988451408e-05,-0.0,-0.0,-7.131963408066748e-13,-9.65471948280697e-11,-3.703876091795873e-08
55,0.0004528097567939925,0.049999999988455245,0.04999955806748674,-2.41674195432762e-08,-1.4024048867150434e-08,-9.08768545200728e-05,-0.0,-0.0,-7.354611250941146e-13,-9.215923964337988e-11,-3.8309169426754045e-08
