frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,0.0001930454136227711,0.05,0.04998478235575755,-0.0,-0.0,-3.1770382774929774e-07,-0.006501559168100357,-0.0,-1.0774938700364018e-10,-4.178021340513518e-10,-4.6405242943068415e-09
1,0.0001876320171248794,0.049970126629770927,0.04998490014477582,-2.420171556388277e-07,-2.3216563788069143e-05,-7.212318930512777e-07,-0.003147505223751068,-0.0008300845511257648,-3.3965578829683047e-10,-3.9613958554960985e-08,-5.921813765816992e-08
2,0.00018548324367521159,0.049915778680219056,0.04998522294718355,-7.86684869152716e-07,-5.729194492383003e-05,-8.830432652082635e-07,-0.0016058564651757479,-0.00046104236389510334,-1.6402777004054138e-09,-2.4812262523553505e-07,-2.3083062003529367e-07
3,0.00018494742176312134,0.04988488114163891,0.049985703073018126,-1.4517184683802874e-06,-8.469847080605427e-05,-8.882391164044123e-07,-0.0007657762034796178,-0.00023419361968990415,-1.0281215389625963e-06,-6.744651175255518e-07,-5.646045745142145e-07
4,0.00018594872475535782,0.049884848906533025,0.049986301447537136,-2.079713831904374e-06,-9.94379284881466e-05,-1.0542539993721572e-06,-0.00042505754390731454,-0.0002373204770265147,-4.745139699746095e-07,-1.2542242199834244e-06,-1.0854638714566803e-06
5,0.00018795559529212878,0.049904616640401675,0.049986983882132845,-2.7534389429751956e-06,-0.00011210145509037583,-1.4806805423072286e-06,-0.0008251556428149343,-0.00019561305816750973,-2.5416476302031605e-07,-1.927452940957634e-06,-1.8347692440616187e-06
6,0.00018890671297847012,0.04989926265358957,0.049987717865369034,-3.34951418494019e-06,-0.0001330427670489145,-1.8759610397130246e-06,-0.0017425696132704616,-0.0002944478183053434,-1.3825040227383015e-07,-2.7200662805695925e-06,-2.9148353642841516e-06
7,0.0001873109881489049,0.049901025992162354,0.0499884771703162,-3.9226003403606144e-06,-0.000180428205558447,-2.4628508315337873e-06,-0.0010562411043792963,-0.0001272071385756135,-7.940902843839004e-08,-3.571397106609915e-06,-4.429140482591253e-06
8,0.00018701475121397522,0.049914837626700174,0.049989243829079225,-4.3955565758306035e-06,-0.0002157144993537541,-3.2261001489865376e-06,-0.000979541684500873,-5.463896286528325e-06,-4.870424870877926e-08,-4.399477945557531e-06,-6.432855937219884e-06
9,0.00018680688335191465,0.04993007198356671,0.04999000507481393,-4.786741915389514e-06,-0.0002517958622992873,-4.166556978336475e-06,-0.0008694459684193134,-8.949868970375974e-06,-3.246905412958377e-08,-5.144259806691716e-06,-8.997587980479525e-06
10,0.0001868147132368879,0.04994805544558068,0.04999075050058508,-5.090250575657235e-06,-0.0002860739393753503,-5.300942255958188e-06,-0.0007840835605747998,-6.615555321332067e-06,-2.3623179000248422e-08,-5.760259178555945e-06,-1.2187309859747251e-05
11,0.0001870217178926838,0.0499650855887432,0.049991472386827454,-5.3150821701989135e-06,-0.0003187615225033005,-6.609827208322767e-06,-0.0007402983028441668,-3.761029802262783e-06,-1.8434996179952856e-08,-6.2255243444914165e-06,-1.606646700812488e-05
12,0.0001873322084342687,0.04997906136124951,0.04999216521177218,-5.469322476121535e-06,-0.00035102473653705554,-8.078675104864713e-06,-0.0006856109830550849,-4.4222938413440716e-06,-1.5017838445272423e-08,-6.53545445233288e-06,-2.069715151515667e-05
13,0.0001878069339395179,0.049989507888695384,0.04999282509140366,-5.556471182001703e-06,-0.00038165548635017737,-9.685133362909454e-06,-0.0006419558194465935,-3.6809942685067654e-06,-1.245183554473537e-08,-6.694738310780681e-06,-2.6133710093661584e-05
14,0.0001884416473692339,0.049996233151702485,0.049993449451214346,-5.58227843506204e-06,-0.00041046217279586475,-1.1403631631069753e-05,-0.0006073046824894845,-3.035158442799002e-06,-1.027120718158459e-08,-6.7167877706741655e-06,-3.242445038805049e-05
15,0.00018923452811171813,0.04999950397069563,0.04999403673774543,-5.552384250676237e-06,-0.0004372243516089434,-1.3208855231549948e-05,-0.0005787362460978329,-2.4542389382986585e-06,-8.327293987912455e-09,-6.620297242155545e-06,-3.961052285328104e-05
16,0.00019018810618410327,0.04999979379188738,0.04999458620768496,-5.472417338595626e-06,-0.0004616688450068333,-1.5077469707824466e-05,-0.0005545566673390567,-1.945766371136415e-06,-6.554559242510196e-09,-6.42630714714987e-06,-4.772502215317525e-05
17,0.00019130501916587932,0.04999767604840717,0.04999509777126561,-5.348379694703755e-06,-0.00048357618273827806,-1.6988602569945933e-05,-0.0005328307161107659,-1.5411357026096084e-06,-4.966460127128674e-09,-6.155943916725878e-06,-5.6792308568609704e-05
18,0.00019258928594839285,0.049993735638974496,0.04999557186141329,-5.1860739803569704e-06,-0.0005027172080482319,-1.8929325812853498e-05,-0.0005124328308738768,-1.220397621182201e-06,-3.604925450603165e-09,-5.82863683123842e-06,-6.682730473271729e-05
19,0.00019404327624728741,0.049988493969854136,0.049996009291589344,-4.991189165170635e-06,-0.0005189015416627055,-2.0889452087251867e-05,-0.0004924814566038549,-9.91143679129891e-07,-2.499471722077976e-09,-5.4615004202148046e-06,-7.783515110078938e-05
20,0.00019566954623575686,0.04998236817599472,0.049996411152342046,-4.769539712414949e-06,-0.0005319828612650688,-2.2857972915581176e-05,-0.0004724981845356524,-8.285381341011089e-07,-1.6533693599565274e-09,-5.069156707274499e-06,-8.981106919913706e-05
21,0.00019747095777073056,0.04997568760650301,0.04999677879007686,-4.5269713352207045e-06,-0.0005418769321426964,-2.4823652135666773e-05,-0.0004522271628957242,-7.20642901796964e-07,-1.0520441683952684e-09,-4.663913697731884e-06,-0.00010274051453176528
22,0.0001994505528856438,0.04996871442224701,0.049997113775704184,-4.269085719080645e-06,-0.000548553694934544,-2.6775522028788022e-05,-0.0004316579143051058,-6.468966944339627e-07,-6.74162338926479e-10,-4.255898032398399e-06,-0.000116599509363605
